,value
31,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000076_banner_2.jpg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 341
32,2016-02-11 17:16:17 128.230.247.37 GET /desktops - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 1144
33,2016-02-11 17:16:17 128.230.247.37 GET /content/images/thumbs/0000022_digital-storm-vanquish-3-custom-performance-pc_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/desktops 200 0 0 6
34,2016-02-11 17:16:17 128.230.247.37 GET /content/images/thumbs/0000023_lenovo-ideacentre-600-all-in-one-pc_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/desktops 200 0 0 6
35,2016-02-11 17:16:17 128.230.247.37 GET /Themes/DefaultClean/Content/images/view-grid.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 62
36,2016-02-11 17:16:17 128.230.247.37 GET /Themes/DefaultClean/Content/images/view-list.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 62
37,2016-02-11 17:16:19 128.230.247.37 GET /digital-storm-vanquish-3-custom-performance-pc - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/desktops 200 0 0 234
38,2016-02-11 17:16:19 128.230.247.37 GET /Content/magnific-popup/magnific-popup.css - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/digital-storm-vanquish-3-custom-performance-pc 200 0 0 13
39,2016-02-11 17:16:19 128.230.247.37 GET /Scripts/jquery.magnific-popup.min.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/digital-storm-vanquish-3-custom-performance-pc 200 0 0 13
40,2016-02-11 17:16:19 128.230.247.37 GET /content/images/thumbs/0000022_digital-storm-vanquish-3-custom-performance-pc_550.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/digital-storm-vanquish-3-custom-performance-pc 200 0 0 8
41,2016-02-11 17:16:19 128.230.247.37 GET /content/images/thumbs/0000031_lenovo-thinkpad-x1-carbon-laptop_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/digital-storm-vanquish-3-custom-performance-pc 200 0 0 18
42,2016-02-11 17:16:19 128.230.247.37 GET /Themes/DefaultClean/Content/images/email-button.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 7
43,2016-02-11 17:16:21 128.230.247.37 GET /books - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/digital-storm-vanquish-3-custom-performance-pc 200 0 0 428
44,2016-02-11 17:16:21 128.230.247.37 GET /content/images/thumbs/0000022_digital-storm-vanquish-3-custom-performance-pc_64.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/books 200 0 0 5
45,2016-02-11 17:16:21 128.230.247.37 GET /content/images/thumbs/0000066_fahrenheit-451-by-ray-bradbury_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/books 200 0 0 6
46,2016-02-11 17:16:21 128.230.247.37 GET /content/images/thumbs/0000067_first-prize-pies_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/books 200 0 0 21
47,2016-02-11 17:16:21 128.230.247.37 GET /content/images/thumbs/0000068_pride-and-prejudice_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/books 200 0 0 75
48,2016-02-11 17:16:23 128.230.247.37 GET /fahrenheit-451-by-ray-bradbury - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/books 200 0 0 182
49,2016-02-11 17:16:23 128.230.247.37 GET /content/images/thumbs/0000066_fahrenheit-451-by-ray-bradbury_550.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/fahrenheit-451-by-ray-bradbury 200 0 0 8
50,2016-02-11 17:16:23 128.230.247.37 GET /Themes/DefaultClean/Content/images/shipping.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 51
51,2016-02-11 17:16:28 128.230.247.37 GET /pride-and-prejudice - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/fahrenheit-451-by-ray-bradbury 200 0 0 198
52,2016-02-11 17:16:28 128.230.247.37 GET /content/images/thumbs/0000068_pride-and-prejudice_550.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/pride-and-prejudice 200 0 0 15
53,"2016-02-11 17:16:50 128.230.247.37 GET / - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 - 200 0 0 107"
54,"2016-02-11 17:16:50 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 14"
55,"2016-02-11 17:16:50 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/jquery-ui-1.10.3.custom.min.css - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 18"
56,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/jquery.validate.unobtrusive.min.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 10"
57,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/jquery.validate.min.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 27"
58,"2016-02-11 17:16:50 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/nivo-slider.css - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 30"
59,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/public.common.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 1"
60,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/jquery-1.10.2.min.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 39"
61,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/jquery-migrate-1.2.1.min.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 12"
62,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/public.ajaxcart.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 0"
63,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/css/styles.css - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 49"
64,"2016-02-11 17:16:50 128.230.247.37 GET /Scripts/jquery-ui-1.10.3.custom.min.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 49"
65,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/logo.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 8"
66,"2016-02-11 17:16:50 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Scripts/jquery.nivo.slider.js - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 13"
67,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000005_electronics_450.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 7"
68,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000013_digital-downloads_450.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 11"
69,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000009_apparel_450.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 12"
70,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000075_banner_1.jpg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 12"
71,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000076_banner_2.jpg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 16"
72,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000024_apple-macbook-pro-13-inch_415.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 6"
73,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000072_25-virtual-gift-card_415.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 14"
74,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_415.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 8"
75,"2016-02-11 17:16:50 128.230.247.37 GET /content/images/thumbs/0000020_build-your-own-computer_415.jpeg - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 11"
76,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/loading.gif - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 6"
77,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/shopping-bag.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 21"
78,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/ajax-loader-small.gif - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 1"
79,"2016-02-11 17:16:50 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/loading.gif - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css 200 0 0 0"
80,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/compare-button.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 5"
81,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/social-sprite.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 9"
82,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating2.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 8"
83,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/wishlist-button.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 10"
84,"2016-02-11 17:16:50 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating1.png - 80 - 128.122.140.238 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 17"
